name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,Class_prob_e,true_Class,conf_flag
2CXO J000009.3+135618,0.942405458553792,0.010683465608465567,0.005218650793650768,0.00012833333333333102,0.02577174603174599,0.001982821869488515,0.0,0.013809523809523772,0.0672383208932323,0.007464464854910738,0.010961669465160043,0.0005473977368691435,0.02960877184328182,0.003115021320977108,0.0,0.025658829455704028,AGN,0.942405458553792,0.0672383208932323,AGN,1
2CXO J000230.7+004959,0.9989794444444445,0.000812777777777769,0.0,0.0,9.388888888888701e-05,5.2777777777777e-05,3.3333333333333e-05,2.7777777777777003e-05,0.002712529469739421,0.001672225205168268,0.0,0.0,0.0006703831592804963,0.0005277777777777699,0.00033333333333333,0.00019937237849034759,AGN,0.9989794444444445,0.002712529469739421,AGN,1
2CXO J000622.6-000424,0.9448786749940691,0.04681168536993328,0.000222383469591948,1.6666666666666e-05,4.62962962962963e-08,0.0053441887065957296,0.002669462604955106,5.6891891891890225e-05,0.026060549727788943,0.024027445199290082,0.0006597181902649294,0.00011725441178023673,4.6296296296296307e-07,0.004748533993395629,0.003542082847753217,0.0002785788495677529,AGN,0.9448786749940691,0.026060549727788943,AGN,1
2CXO J000659.2-001740,0.1223567735281348,0.7623387030629858,0.0004645614313108961,5.569444444444389e-05,0.0021565938736679887,0.11011084430942328,0.0005909727848709091,0.0019258565651617799,0.07020119585035843,0.16286718533562103,0.0013131743782833587,0.0005555432623499547,0.003489684137513904,0.10728680389004143,0.0020589065419260393,0.0037551237119567552,CV,0.7623387030629858,0.16286718533562103,AGN,1
2CXO J000701.5+730308,0.08531931186157489,0.29593377527014414,0.003716290775320265,4.5285824985142515e-06,0.0005312574341726432,0.4667685028275723,0.1475204883871117,0.0002058448616054093,0.027227843273111164,0.1174423529941216,0.0027104156839538353,2.5837340074486848e-05,0.0006594760994112961,0.10746841149824266,0.07949534248097738,0.0003630097603991031,LMXB,0.4667685028275723,0.10746841149824266,NS,0
2CXO J000703.6+155423,0.9889500465656931,0.0018659627851608793,4.9999999999999006e-05,0.0046444133081329185,6.727167380817636e-08,0.0004309172294203512,0.0,0.004058592839918836,0.005704311542500262,0.0024970182128737735,0.0002964540825662633,0.0038268053174652546,4.7508272032507167e-07,0.0008545491435182308,0.0,0.0028859551568341125,AGN,0.9889500465656931,0.005704311542500262,AGN,1
2CXO J000833.8+512412,0.000143888888888886,0.0001072632226322251,0.07213643125563647,0.0,0.8884190561026938,0.0,0.000165700483091786,0.039027660047056795,0.0005309415481454324,0.0005356777911075389,0.05003699065687392,0.0,0.06733995001542213,0.0,0.0008668841538990281,0.030290359496173723,LM-STAR,0.8884190561026938,0.06733995001542213,LM-STAR,1
2CXO J000856.7+155045,0.9980099568779647,0.000469999999999994,8.6666666666666e-05,0.0,0.000746666666666656,0.0005305986775909111,3.3333333333333e-05,0.000122777777777776,0.003500339379675911,0.0013229680341957045,0.0006940827340820639,0.0,0.0017841202797778926,0.0013654392285906728,0.00033333333333333,0.0006156243402799883,AGN,0.9980099568779647,0.003500339379675911,AGN,1
2CXO J001306.1+000431,0.9824229389853304,0.007161129426129389,0.000152777777777776,0.0006931623931623839,0.00039345295606164427,0.002154444444444421,8.611111111111e-05,0.006935982905982877,0.024033099836710668,0.011621924832610556,0.0007710295273117105,0.001489804014482186,0.001143184576088141,0.002885904311688344,0.00045991420389785337,0.013042057468746385,AGN,0.9824229389853304,0.024033099836710668,AGN,1
2CXO J001826.4+300400,0.0026946258942003314,0.040623895441368865,0.16934593981590723,0.009093112001203479,0.6679695110020859,0.02959847634922127,3.0555555555555005e-05,0.08064388394045727,0.003022138828580073,0.03428993707982975,0.07690720318226259,0.028078586514874323,0.14329736683099706,0.030478411687961803,0.0001761030474668088,0.031290307614426936,LM-STAR,0.6679695110020859,0.14329736683099706,LM-STAR,1
2CXO J001837.3+163446,0.8162116138714672,0.14172955977277937,0.0012738244650301969,2.6099236151228294e-05,0.006974703138308403,0.031142197406908476,0.00012832932499598905,0.002513672784358956,0.09399866425982917,0.08048678436599124,0.0016417078371808605,0.0001601291576326955,0.007410160228743933,0.02424012308447037,0.0005919868073337051,0.002533034227308154,AGN,0.8162116138714672,0.09399866425982917,AGN,1
