name,RA_ICRS_gaia,DE_ICRS_gaia,Gmag,Fcsc_m,Gflux,G2X,Class
2CXO J205448.6-582715,313.70266376091,-58.45425431238,3.322985,5.339126926351828e-15,4.7480949786026834e-07,88930176.11489917,LM-STAR
2CXO J110457.9-584742,166.24170513921,-58.7950396926,8.389723,1.8989993107707183e-16,4.465028114239596e-09,23512531.51549298,LM-STAR
2CXO J015738.9+374612,29.4123474022,37.77006330419,8.771644,1.4527978845608027e-16,3.140912209692009e-09,21619746.58051999,LM-STAR
2CXO J021909.2+570806,34.78851120538,57.13508738007,9.187903,1.0429264851761731e-16,2.1406821995742774e-09,20525724.775439654,HM-STAR
2CXO J132533.7-430525,201.39058703703,-43.09035278932,9.117264,1.7437028129158432e-16,2.2845875081071714e-09,13101931.6547804,LM-STAR
2CXO J110435.9-584520,166.14976695918,-58.75577956367,7.413162,1.6710000000000001e-15,1.0976113715319454e-08,6568589.895463468,LM-STAR
2CXO J113509.9-605500,173.79139183291,-60.9168199854,10.353494,1.2686364516765559e-16,7.316709255426115e-10,5767380.596511143,LM-STAR
2CXO J172354.0+592047,260.97494707431,59.3465069428,9.413455,3.1141434408135843e-16,1.7391274012855604e-09,5584609.168905865,LM-STAR
2CXO J055202.2+323043,88.00946750172,32.51222079963,9.821565,2.620285126608084e-16,1.1942284078134135e-09,4557627.701223959,LM-STAR
2CXO J073810.2-303824,114.54244930785,-30.64014860949,9.403529,4.113226439066271e-16,1.755099723438698e-09,4266965.968051876,LM-STAR
